date,rainfall_mm,market
2020-04-01,0.8,Bwaise
2020-04-02,1.4,Bwaise
2020-04-03,1.4,Bwaise
2020-04-04,4.3,Bwaise
2020-04-05,2.9,Bwaise
2020-04-06,1.8,Bwaise
2020-04-07,1.1,Bwaise
2020-04-08,0.3,Bwaise
2020-04-09,1.2,Bwaise
2020-04-10,8.0,Bwaise
2020-04-11,1.9,Bwaise
2020-04-12,17.0,Bwaise
2020-04-13,16.2,Bwaise
2020-04-14,22.0,Bwaise
2020-04-15,2.7,Bwaise
2020-04-16,1.7,Bwaise
2020-04-17,13.1,Bwaise
2020-04-18,8.1,Bwaise
2020-04-19,10.2,Bwaise
2020-04-20,14.3,Bwaise
2020-04-21,6.1,Bwaise
2020-04-22,14.3,Bwaise
2020-04-23,20.4,Bwaise
2020-04-24,2.1,Bwaise
2020-04-25,0.8,Bwaise
2020-04-26,3.4,Bwaise
2020-04-27,3.4,Bwaise
2020-04-28,10.0,Bwaise
2020-04-29,9.6,Bwaise
2020-04-30,5.0,Bwaise
2020-05-01,6.9,Bwaise
2020-05-02,27.3,Bwaise
2020-05-03,4.6,Bwaise
2020-05-04,1.0,Bwaise
2020-05-05,1.2,Bwaise
2020-05-06,5.7,Bwaise
2020-05-07,13.5,Bwaise
2020-05-08,11.0,Bwaise
2020-05-09,13.7,Bwaise
2020-05-10,34.8,Bwaise
2020-05-11,6.9,Bwaise
2020-05-12,6.0,Bwaise
2020-05-13,1.2,Bwaise
2020-05-14,2.8,Bwaise
2020-05-15,0.6,Bwaise
2020-05-16,3.8,Bwaise
2020-05-17,2.9,Bwaise
2020-05-18,3.8,Bwaise
2020-05-19,1.8,Bwaise
2020-05-20,2.6,Bwaise
2020-05-21,1.0,Bwaise
2020-05-22,1.0,Bwaise
2020-05-23,0.0,Bwaise
2020-05-24,0.2,Bwaise
2020-05-25,1.3,Bwaise
2020-05-26,0.9,Bwaise
2020-05-27,0.5,Bwaise
2020-05-28,0.4,Bwaise
2020-05-29,6.8,Bwaise
2020-05-30,2.1,Bwaise
2020-05-31,1.1,Bwaise
2020-06-01,0.5,Bwaise
2020-06-02,1.9,Bwaise
2020-06-03,9.8,Bwaise
2020-06-04,10.6,Bwaise
2020-06-05,0.6,Bwaise
2020-06-06,2.2,Bwaise
2020-06-07,1.1,Bwaise
2020-06-08,1.6,Bwaise
2020-06-09,1.9,Bwaise
2020-06-10,16.6,Bwaise
2020-06-11,10.5,Bwaise
2020-06-12,6.3,Bwaise
2020-06-13,8.1,Bwaise
2020-06-14,6.8,Bwaise
2020-06-15,1.7,Bwaise
2020-06-16,0.2,Bwaise
2020-06-17,0.3,Bwaise
2020-06-18,0.6,Bwaise
2020-06-19,2.8,Bwaise
2020-06-20,4.8,Bwaise
2020-06-21,0.8,Bwaise
2020-06-22,0.8,Bwaise
2020-06-23,0.7,Bwaise
2020-06-24,4.7,Bwaise
2020-06-25,6.0,Bwaise
2020-06-26,0.1,Bwaise
2020-06-27,0.6,Bwaise
2020-06-28,0.7,Bwaise
2020-06-29,3.3,Bwaise
2020-06-30,0.1,Bwaise
2020-01-01,1.3,Nakasero
2020-01-02,0.1,Nakasero
2020-01-03,0.3,Nakasero
2020-01-04,0.3,Nakasero
2020-01-05,0.2,Nakasero
2020-01-06,2.1,Nakasero
2020-01-07,0.5,Nakasero
2020-01-08,9.0,Nakasero
2020-01-09,0.7,Nakasero
2020-01-10,1.1,Nakasero
2020-01-11,0.6,Nakasero
2020-01-12,3.5,Nakasero
2020-01-13,8.2,Nakasero
2020-01-14,0.0,Nakasero
2020-01-15,0.1,Nakasero
2020-01-16,2.7,Nakasero
2020-01-17,6.0,Nakasero
2020-01-18,2.0,Nakasero
2020-01-19,0.0,Nakasero
2020-01-20,0.0,Nakasero
2020-01-21,0.0,Nakasero
2020-01-22,0.0,Nakasero
2020-01-23,0.0,Nakasero
2020-01-24,0.0,Nakasero
2020-01-25,0.0,Nakasero
2020-01-26,6.8,Nakasero
2020-01-27,6.8,Nakasero
2020-01-28,15.9,Nakasero
2020-01-29,6.0,Nakasero
2020-01-30,14.9,Nakasero
2020-01-31,14.1,Nakasero
2020-02-01,1.1,Nakasero
2020-02-02,0.0,Nakasero
2020-02-03,1.7,Nakasero
2020-02-04,18.1,Nakasero
2020-02-05,6.9,Nakasero
2020-02-06,5.4,Nakasero
2020-02-07,0.2,Nakasero
2020-02-08,0.1,Nakasero
2020-02-09,0.0,Nakasero
2020-02-10,0.0,Nakasero
2020-02-11,0.0,Nakasero
2020-02-12,0.0,Nakasero
2020-02-13,0.0,Nakasero
2020-02-14,0.6,Nakasero
2020-02-15,9.0,Nakasero
2020-02-16,3.2,Nakasero
2020-02-17,0.0,Nakasero
2020-02-18,2.6,Nakasero
2020-02-19,0.6,Nakasero
2020-02-20,7.1,Nakasero
2020-02-21,0.5,Nakasero
2020-02-22,3.1,Nakasero
2020-02-23,0.6,Nakasero
2020-02-24,0.8,Nakasero
2020-02-25,4.6,Nakasero
2020-02-26,2.9,Nakasero
2020-02-27,4.6,Nakasero
2020-02-28,9.9,Nakasero
2020-02-29,5.8,Nakasero
2020-03-01,0.6,Nakasero
2020-03-02,3.0,Nakasero
2020-03-03,8.5,Nakasero
2020-03-04,16.5,Nakasero
2020-03-05,1.7,Nakasero
2020-03-06,1.9,Nakasero
2020-03-07,2.1,Nakasero
2020-03-08,2.5,Nakasero
2020-03-09,13.3,Nakasero
2020-03-10,7.5,Nakasero
2020-03-11,11.3,Nakasero
2020-03-12,3.9,Nakasero
2020-03-13,12.3,Nakasero
2020-03-14,1.8,Nakasero
2020-03-15,2.5,Nakasero
2020-03-16,12.8,Nakasero
2020-03-17,3.1,Nakasero
2020-03-18,9.9,Nakasero
2020-03-19,4.8,Nakasero
2020-03-20,1.2,Nakasero
2020-03-21,9.0,Nakasero
2020-03-22,14.9,Nakasero
2020-03-23,6.2,Nakasero
2020-03-24,4.0,Nakasero
2020-03-25,3.9,Nakasero
2020-03-26,3.6,Nakasero
2020-03-27,15.8,Nakasero
2020-03-28,18.6,Nakasero
2020-03-29,4.5,Nakasero
2020-03-30,0.4,Nakasero
2020-03-31,0.9,Nakasero
2020-04-01,0.8,Nakasero
2020-04-02,1.4,Nakasero
2020-04-03,1.4,Nakasero
2020-04-04,4.3,Nakasero
2020-04-05,2.9,Nakasero
2020-04-06,1.8,Nakasero
2020-04-07,1.1,Nakasero
2020-04-08,0.3,Nakasero
2020-04-09,1.2,Nakasero
2020-04-10,8.0,Nakasero
2020-04-11,1.9,Nakasero
2020-04-12,17.0,Nakasero
2020-04-13,16.2,Nakasero
2020-04-14,22.0,Nakasero
2020-04-15,2.7,Nakasero
2020-04-16,1.7,Nakasero
2020-04-17,13.1,Nakasero
2020-04-18,8.1,Nakasero
2020-04-19,10.2,Nakasero
2020-04-20,14.3,Nakasero
2020-04-21,6.1,Nakasero
2020-04-22,14.3,Nakasero
2020-04-23,20.4,Nakasero
2020-04-24,2.1,Nakasero
2020-04-25,0.8,Nakasero
2020-04-26,3.4,Nakasero
2020-04-27,3.4,Nakasero
2020-04-28,10.0,Nakasero
2020-04-29,9.6,Nakasero
2020-04-30,5.0,Nakasero
2020-05-01,6.9,Nakasero
2020-05-02,27.3,Nakasero
2020-05-03,4.6,Nakasero
2020-05-04,1.0,Nakasero
2020-05-05,1.2,Nakasero
2020-05-06,5.7,Nakasero
2020-05-07,13.5,Nakasero
2020-05-08,11.0,Nakasero
2020-05-09,13.7,Nakasero
2020-05-10,34.8,Nakasero
2020-05-11,6.9,Nakasero
2020-05-12,6.0,Nakasero
2020-05-13,1.2,Nakasero
2020-05-14,2.8,Nakasero
2020-05-15,0.6,Nakasero
2020-05-16,3.8,Nakasero
2020-05-17,2.9,Nakasero
2020-05-18,3.8,Nakasero
2020-05-19,1.8,Nakasero
2020-05-20,2.6,Nakasero
2020-05-21,1.0,Nakasero
2020-05-22,1.0,Nakasero
2020-05-23,0.0,Nakasero
2020-05-24,0.2,Nakasero
2020-05-25,1.3,Nakasero
2020-05-26,0.9,Nakasero
2020-05-27,0.5,Nakasero
2020-05-28,0.4,Nakasero
2020-05-29,6.8,Nakasero
2020-05-30,2.1,Nakasero
2020-05-31,1.1,Nakasero
2020-06-01,0.5,Nakasero
2020-06-02,1.9,Nakasero
2020-06-03,9.8,Nakasero
2020-06-04,10.6,Nakasero
2020-06-05,0.6,Nakasero
2020-06-06,2.2,Nakasero
2020-06-07,1.1,Nakasero
2020-06-08,1.6,Nakasero
2020-06-09,1.9,Nakasero
2020-06-10,16.6,Nakasero
2020-06-11,10.5,Nakasero
2020-06-12,6.3,Nakasero
2020-06-13,8.1,Nakasero
2020-06-14,6.8,Nakasero
2020-06-15,1.7,Nakasero
2020-06-16,0.2,Nakasero
2020-06-17,0.3,Nakasero
2020-06-18,0.6,Nakasero
2020-06-19,2.8,Nakasero
2020-06-20,4.8,Nakasero
2020-06-21,0.8,Nakasero
2020-06-22,0.8,Nakasero
2020-06-23,0.7,Nakasero
2020-06-24,4.7,Nakasero
2020-06-25,6.0,Nakasero
2020-06-26,0.1,Nakasero
2020-06-27,0.6,Nakasero
2020-06-28,0.7,Nakasero
2020-06-29,3.3,Nakasero
2020-06-30,0.1,Nakasero
2020-01-01,1.6,Kasanga
2020-01-02,0.3,Kasanga
2020-01-03,0.0,Kasanga
2020-01-04,0.0,Kasanga
2020-01-05,0.0,Kasanga
2020-01-06,3.0,Kasanga
2020-01-07,0.3,Kasanga
2020-01-08,6.0,Kasanga
2020-01-09,0.6,Kasanga
2020-01-10,2.6,Kasanga
2020-01-11,0.3,Kasanga
2020-01-12,3.0,Kasanga
2020-01-13,3.0,Kasanga
2020-01-14,0.0,Kasanga
2020-01-15,0.1,Kasanga
2020-01-16,1.0,Kasanga
2020-01-17,4.2,Kasanga
2020-01-18,2.7,Kasanga
2020-01-19,0.0,Kasanga
2020-01-20,0.0,Kasanga
2020-01-21,0.0,Kasanga
2020-01-22,0.0,Kasanga
2020-01-23,0.0,Kasanga
2020-01-24,0.0,Kasanga
2020-01-25,0.0,Kasanga
2020-01-26,2.4,Kasanga
2020-01-27,6.6,Kasanga
2020-01-28,10.1,Kasanga
2020-01-29,8.0,Kasanga
2020-01-30,7.5,Kasanga
2020-01-31,16.8,Kasanga
2020-02-01,1.0,Kasanga
2020-02-02,0.0,Kasanga
2020-02-03,0.7,Kasanga
2020-02-04,6.6,Kasanga
2020-02-05,2.4,Kasanga
2020-02-06,6.6,Kasanga
2020-02-07,0.2,Kasanga
2020-02-08,0.0,Kasanga
2020-02-09,0.0,Kasanga
2020-02-10,0.0,Kasanga
2020-02-11,0.0,Kasanga
2020-02-12,0.0,Kasanga
2020-02-13,0.0,Kasanga
2020-02-14,1.0,Kasanga
2020-02-15,19.2,Kasanga
2020-02-16,2.5,Kasanga
2020-02-17,0.1,Kasanga
2020-02-18,6.0,Kasanga
2020-02-19,1.0,Kasanga
2020-02-20,6.0,Kasanga
2020-02-21,2.0,Kasanga
2020-02-22,1.4,Kasanga
2020-02-23,0.5,Kasanga
2020-02-24,0.1,Kasanga
2020-02-25,1.9,Kasanga
2020-02-26,3.1,Kasanga
2020-02-27,9.0,Kasanga
2020-02-28,10.6,Kasanga
2020-02-29,2.3,Kasanga
2020-03-01,1.5,Kasanga
2020-03-02,4.1,Kasanga
2020-03-03,6.0,Kasanga
2020-03-04,9.5,Kasanga
2020-03-05,2.2,Kasanga
2020-03-06,0.9,Kasanga
2020-03-07,1.2,Kasanga
2020-03-08,4.4,Kasanga
2020-03-09,13.6,Kasanga
2020-03-10,1.0,Kasanga
2020-03-11,2.6,Kasanga
2020-03-12,4.5,Kasanga
2020-03-13,16.4,Kasanga
2020-03-14,1.8,Kasanga
2020-03-15,1.7,Kasanga
2020-03-16,12.8,Kasanga
2020-03-17,3.4,Kasanga
2020-03-18,10.2,Kasanga
2020-03-19,3.8,Kasanga
2020-03-20,1.0,Kasanga
2020-03-21,4.0,Kasanga
2020-03-22,21.8,Kasanga
2020-03-23,3.7,Kasanga
2020-03-24,3.8,Kasanga
2020-03-25,9.6,Kasanga
2020-03-26,3.3,Kasanga
2020-03-27,11.0,Kasanga
2020-03-28,15.1,Kasanga
2020-03-29,6.0,Kasanga
2020-03-30,0.3,Kasanga
2020-03-31,1.9,Kasanga
2020-04-01,1.6,Kasanga
2020-04-02,0.7,Kasanga
2020-04-03,1.8,Kasanga
2020-04-04,3.7,Kasanga
2020-04-05,1.5,Kasanga
2020-04-06,1.3,Kasanga
2020-04-07,0.8,Kasanga
2020-04-08,0.6,Kasanga
2020-04-09,0.9,Kasanga
2020-04-10,4.6,Kasanga
2020-04-11,2.2,Kasanga
2020-04-12,8.4,Kasanga
2020-04-13,12.4,Kasanga
2020-04-14,16.0,Kasanga
2020-04-15,3.5,Kasanga
2020-04-16,0.7,Kasanga
2020-04-17,8.4,Kasanga
2020-04-18,9.4,Kasanga
2020-04-19,5.5,Kasanga
2020-04-20,13.2,Kasanga
2020-04-21,3.8,Kasanga
2020-04-22,5.1,Kasanga
2020-04-23,18.7,Kasanga
2020-04-24,3.8,Kasanga
2020-04-25,0.5,Kasanga
2020-04-26,2.5,Kasanga
2020-04-27,3.9,Kasanga
2020-04-28,12.3,Kasanga
2020-04-29,9.0,Kasanga
2020-04-30,9.4,Kasanga
2020-05-01,4.9,Kasanga
2020-05-02,14.0,Kasanga
2020-05-03,4.0,Kasanga
2020-05-04,2.8,Kasanga
2020-05-05,3.5,Kasanga
2020-05-06,5.2,Kasanga
2020-05-07,8.1,Kasanga
2020-05-08,9.4,Kasanga
2020-05-09,5.1,Kasanga
2020-05-10,30.4,Kasanga
2020-05-11,3.9,Kasanga
2020-05-12,4.4,Kasanga
2020-05-13,1.0,Kasanga
2020-05-14,1.1,Kasanga
2020-05-15,1.3,Kasanga
2020-05-16,6.4,Kasanga
2020-05-17,4.1,Kasanga
2020-05-18,1.3,Kasanga
2020-05-19,1.7,Kasanga
2020-05-20,2.9,Kasanga
2020-05-21,1.2,Kasanga
2020-05-22,2.3,Kasanga
2020-05-23,0.0,Kasanga
2020-05-24,0.3,Kasanga
2020-05-25,1.3,Kasanga
2020-05-26,1.5,Kasanga
2020-05-27,0.5,Kasanga
2020-05-28,0.3,Kasanga
2020-05-29,3.5,Kasanga
2020-05-30,3.5,Kasanga
2020-05-31,0.6,Kasanga
2020-06-01,0.1,Kasanga
2020-06-02,0.8,Kasanga
2020-06-03,2.7,Kasanga
2020-06-04,9.3,Kasanga
2020-06-05,0.7,Kasanga
2020-06-06,0.9,Kasanga
2020-06-07,3.3,Kasanga
2020-06-08,1.0,Kasanga
2020-06-09,3.7,Kasanga
2020-06-10,9.0,Kasanga
2020-06-11,5.5,Kasanga
2020-06-12,1.1,Kasanga
2020-06-13,6.2,Kasanga
2020-06-14,5.4,Kasanga
2020-06-15,0.7,Kasanga
2020-06-16,0.8,Kasanga
2020-06-17,0.1,Kasanga
2020-06-18,0.7,Kasanga
2020-06-19,2.5,Kasanga
2020-06-20,8.7,Kasanga
2020-06-21,1.5,Kasanga
2020-06-22,0.9,Kasanga
2020-06-23,0.5,Kasanga
2020-06-24,5.2,Kasanga
2020-06-25,1.5,Kasanga
2020-06-26,0.2,Kasanga
2020-06-27,3.5,Kasanga
2020-06-28,1.7,Kasanga
2020-06-29,1.9,Kasanga
2020-06-30,0.1,Kasanga
